open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1739998800000	96139.26	96139.26	96139.26	96139.26	0	1739999699999	0	0	0	0	2025-02-19 21:00:00+00:00	2025-02-19 21:14:59.999000+00:00
1739999700000	96392.7	96392.7	96383.38	96383.38	0.00027	1740000599999	26.025097	2	0.00027	26.025097	2025-02-19 21:15:00+00:00	2025-02-19 21:29:59.999000+00:00
1740000600000	96383.38	96383.38	96383.38	96383.38	0	1740001499999	0	0	0	0	2025-02-19 21:30:00+00:00	2025-02-19 21:44:59.999000+00:00
1740001500000	96383.38	96383.38	96332.53	96332.54	0.00259	1740002399999	249.5139679	3	0.00234	225.4181229	2025-02-19 21:45:00+00:00	2025-02-19 21:59:59.999000+00:00
1740002400000	96332.54	96332.54	96332.54	96332.54	0	1740003299999	0	0	0	0	2025-02-19 22:00:00+00:00	2025-02-19 22:14:59.999000+00:00
1740003300000	96644.38	96644.38	96498.51	96498.51	0.00429	1740004199999	414.4537009	9	0.00429	414.4537009	2025-02-19 22:15:00+00:00	2025-02-19 22:29:59.999000+00:00
1740004200000	96498.51	96498.51	96498.51	96498.51	0	1740005099999	0	0	0	0	2025-02-19 22:30:00+00:00	2025-02-19 22:44:59.999000+00:00
1740005100000	96498.51	96498.51	96498.51	96498.51	0.0046	1740005999999	443.893146	3	0.00131	126.4130481	2025-02-19 22:45:00+00:00	2025-02-19 22:59:59.999000+00:00
1740006000000	96498.51	96780	96498.51	96564.1	0.04861	1740006899999	4701.5299037	5	0.00051	49.3578	2025-02-19 23:00:00+00:00	2025-02-19 23:14:59.999000+00:00
1740006900000	96837.29	96837.29	96571.24	96571.24	0.00667	1740007799999	645.6411796	9	0.00657	635.9840556	2025-02-19 23:15:00+00:00	2025-02-19 23:29:59.999000+00:00
1740007800000	96571.24	96571.24	96571.24	96571.24	0	1740008699999	0	0	0	0	2025-02-19 23:30:00+00:00	2025-02-19 23:44:59.999000+00:00
1740008700000	96584.33	96584.33	96584.33	96584.33	0.00019	1740009599999	18.3510227	1	0	0	2025-02-19 23:45:00+00:00	2025-02-19 23:59:59.999000+00:00
1740009600000	96498.51	96602	96498.51	96602	0.00096	1740010499999	92.6571978	2	0.00018	17.38836	2025-02-20 00:00:00+00:00	2025-02-20 00:14:59.999000+00:00
1740010500000	96498.51	96498.51	96498.51	96498.51	0.01253	1740011399999	1209.1263303	2	0	0	2025-02-20 00:15:00+00:00	2025-02-20 00:29:59.999000+00:00
1740011400000	96498.51	96612.65	96498.51	96612.65	0.02074	1740012299999	2003.2032474	19	0.01843	1780.2916893	2025-02-20 00:30:00+00:00	2025-02-20 00:44:59.999000+00:00
1740012300000	96622.66	96768.81	96594.62	96768.81	0.00868	1740013199999	838.94379	9	0.0057	551.0917924	2025-02-20 00:45:00+00:00	2025-02-20 00:59:59.999000+00:00
1740013200000	96768.81	96768.81	96768.81	96768.81	0	1740014099999	0	0	0	0	2025-02-20 01:00:00+00:00	2025-02-20 01:14:59.999000+00:00
1740014100000	96768.81	96768.81	96768.81	96768.81	0.00167	1740014999999	161.6039127	1	0	0	2025-02-20 01:15:00+00:00	2025-02-20 01:29:59.999000+00:00
1740015000000	96768.81	96768.81	96768.81	96768.81	0.00261	1740015899999	252.5665941	4	0	0	2025-02-20 01:30:00+00:00	2025-02-20 01:44:59.999000+00:00
1740015900000	96768.81	96768.81	96768.81	96768.81	0.0003	1740016799999	29.030643	2	0	0	2025-02-20 01:45:00+00:00	2025-02-20 01:59:59.999000+00:00
1740016800000	96768.81	96768.81	96768.81	96768.81	0.00028	1740017699999	27.0952668	1	0	0	2025-02-20 02:00:00+00:00	2025-02-20 02:14:59.999000+00:00
